"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.062132875E0;4.823356271E-1;1.078873396E0;3.721674681E-1
2.072111875E0;1.128467202E0;1.463742256E0;3.698348105E-1
2.082121875E0;1.582469702E0;1.794838905E0;7.118216753E-1
2.092131875E0;1.826405644E0;2.131654024E0;9.689515233E-1
2.102110875E0;1.919452071E0;2.435473919E0;1.001445293E0
2.112120875E0;1.706297994E0;2.464552402E0;8.960991502E-1
2.122129875E0;1.288439631E0;2.281560659E0;6.761985421E-1
2.132139875E0;6.910773516E-1;1.752334595E0;5.884796381E-1
2.142118875E0;1.664336771E-1;1.181432605E0;7.289786339E-1
2.152128875E0;-1.846987754E-1;8.236740232E-1;9.265444279E-1
2.162138875E0;-2.144638002E-1;6.538671851E-1;1.063117862E0
2.172117875E0;8.895093948E-2;4.836105108E-1;1.119542837E0
2.182127875E0;5.354726315E-1;4.967082739E-1;1.116883755E0
2.192137875E0;9.421402812E-1;4.741827250E-1;1.018327117E0
2.202146875E0;1.072110891E0;4.834684134E-1;9.355188608E-1
2.212126875E0;8.323627114E-1;5.157400370E-1;8.296267986E-1
2.222135875E0;3.972846270E-1;3.237756193E-1;6.176782846E-1
2.232145875E0;3.611630760E-3;6.907116622E-2;3.057866693E-1
2.242124875E0;-4.256198406E-1;1.449842006E-2;2.623712271E-2
2.252134875E0;-7.603871822E-1;3.691824675E-1;6.471793354E-2
2.262144875E0;-8.556611538E-1;6.510305405E-1;2.934928536E-1
2.272123875E0;-6.315692067E-1;5.821465850E-1;5.910704732E-1
2.282133875E0;-1.484184563E-1;3.203076124E-1;8.907214403E-1
2.292143875E0;4.106184542E-1;-4.949306324E-2;1.053341746E0
2.302153875E0;8.619105816E-1;-3.704309464E-1;1.028499007E0
2.312132875E0;1.086812615E0;-4.696723223E-1;8.055959940E-1
2.322142875E0;1.081407070E0;-4.245107174E-1;5.356239080E-1
2.332151875E0;8.737317324E-1;-3.991315663E-1;3.156630397E-1
2.342131875E0;5.967954993E-1;-5.346347094E-1;2.295422107E-1
2.352140875E0;3.275349736E-1;-5.617446303E-1;3.360268474E-1
2.362150875E0;8.627001941E-2;-6.232506037E-1;6.274586916E-1
2.372160875E0;-6.818878651E-2;-9.154685736E-1;9.543305635E-1
2.382139875E0;-5.719354004E-2;-1.350422502E0;1.215824962E0
2.392149875E0;6.875799596E-2;-1.795247912E0;1.328706741E0
2.402159875E0;3.327023685E-1;-2.120019436E0;1.337193489E0
2.412138875E0;5.518565774E-1;-2.494812012E0;1.228624940E0
2.422148875E0;7.148150802E-1;-2.468499899E0;1.102283955E0
2.432157875E0;7.604249120E-1;-2.257925510E0;1.015788436E0
2.442137875E0;4.398537874E-1;-1.719906092E0;8.551108241E-1
2.452146875E0;-7.877815515E-4;-1.334494472E0;3.106741607E-1
2.462156875E0;-4.289307296E-1;-1.109182477E0;1.094078273E-1
2.472166875E0;-7.152367830E-1;-8.611936569E-1;1.372269392E-1
2.482145875E0;-5.544555187E-1;-1.092346668E0;1.707772464E-1
2.492155875E0;-2.078389674E-1;-1.829580784E0;3.390898108E-1
2.502165875E0;1.360004991E-1;-2.762275696E0;6.582638025E-1
2.512144875E0;4.922305048E-1;-3.613079071E0;8.813812733E-1
2.522154875E0;9.459750652E-1;-4.488885880E0;9.769369364E-1
2.532164875E0;1.523183346E0;-5.403068542E0;1.134745479E0
2.542173875E0;1.891794682E0;-6.025452137E0;1.321783781E0
2.552153875E0;1.995333791E0;-6.031334400E0;1.377805710E0
2.562162875E0;1.829054356E0;-5.235435963E0;1.367172718E0
2.572172875E0;1.493152022E0;-3.889092445E0;1.250197291E0
2.582151875E0;1.030996919E0;-2.820511103E0;1.343183517E0
2.592161875E0;5.158137083E-1;-2.369904041E0;1.498525620E0
2.602171875E0;4.250034690E-1;-2.286474943E0;1.500059366E0
2.612150875E0;4.485159814E-1;-2.677413940E0;1.423133373E0
2.622160875E0;3.997835517E-1;-2.925144911E0;1.225412250E0
2.632170875E0;4.292780459E-1;-2.964671612E0;1.052488089E0
2.642179875E0;5.647192001E-1;-2.880390644E0;8.658306599E-1
2.652159875E0;6.171048880E-1;-2.881775379E0;8.232421875E-1
2.662168875E0;8.196920156E-1;-2.695886612E0;7.907408476E-1
2.672178875E0;9.587891698E-1;-2.375249386E0;8.196310997E-1
2.682157875E0;8.878415823E-1;-1.950663209E0;1.016522288E0
2.692167875E0;4.085719585E-1;-1.050730705E0;1.308850050E0
2.702177875E0;-2.625923231E-2;-8.431440592E-1;1.272809386E0
2.712187875E0;-2.731411755E-1;-1.123424172E0;1.356470704E0
2.722166875E0;-1.405498087E-1;-1.632073402E0;1.397687435E0
2.732176875E0;1.861135364E-1;-2.265371561E0;1.107793331E0
2.742186875E0;3.530136049E-1;-2.508318663E0;1.137865782E0
2.752165875E0;6.635443121E-2;-2.376712561E0;1.208448291E0
2.762175875E0;-2.878898084E-1;-2.415811300E0;1.501615167E0
2.772184875E0;-1.415110081E-1;-2.275114059E0;1.616532683E0
2.782164875E0;2.255069464E-1;-2.372307301E0;1.338097334E0
2.792173875E0;1.201664060E-1;-1.903668523E0;7.880824208E-1
2.802183875E0;1.663288474E-1;-1.621077895E0;5.260550380E-1
2.812193875E0;1.260054857E-2;-1.494215608E0;4.801048338E-1
2.822172875E0;-4.977063835E-1;-1.000353217E0;2.478322983E-1
2.832182875E0;-5.856684446E-1;-6.982336044E-1;1.330681741E-1
2.842192875E0;-3.684383333E-1;-3.361878917E-2;-3.497718647E-2
2.852171875E0;4.089244828E-2;4.762700200E-1;-1.238940135E-1
2.862181875E0;5.180054307E-1;2.341167927E-1;-6.629422307E-2
2.872190875E0;7.452442050E-1;-2.144562006E-1;2.359936014E-3
2.882200875E0;1.120253801E0;-7.224954963E-1;3.033142388E-1
2.892201875E0;1.436281562E0;-1.179955229E-1;4.014482498E-1
2.902211875E0;1.514662862E0;-1.496794969E-1;3.131697178E-1
2.912221875E0;1.102903843E0;-8.347995281E-1;4.232051373E-1
2.922200875E0;6.403731704E-1;-9.015597105E-1;8.819503784E-1
2.932210875E0;1.770825088E-1;-1.027670622E0;1.127163768E0
2.942220875E0;-6.154250503E-1;-1.720981121E0;1.135872722E0
2.952199875E0;-1.271215200E0;-2.744778633E0;8.392972350E-1
