"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3.138896530E2;5.111944078E1;7.405947811E0;3.037857763E2;5.697917566E-2;2.459869680E2;6.000906205E0;6.000906205E0
3.148896642E2;5.111944082E1;7.405947116E0;3.037681036E2;1.583609916E-2;2.840382524E2;6.000906205E0;6.000906205E0
3.158896754E2;5.111944345E1;7.405955839E0;3.037610629E2;8.799614012E-2;3.466340675E2;6.000906205E0;6.000906205E0
3.168896855E2;5.111944363E1;7.405946770E0;3.037743939E2;1.097259969E-1;3.450199298E2;6.000906205E0;6.000906205E0
3.178896964E2;5.111944512E1;7.405944143E0;3.037140113E2;2.491955608E-1;3.351544319E2;6.000906205E0;6.000906205E0
3.188897079E2;5.111944882E1;7.405942714E0;3.036580951E2;2.491955608E-1;3.118264672E2;6.000906205E0;6.000906205E0
3.198897187E2;5.111945458E1;7.405943309E0;3.035353343E2;2.385419607E-1;3.228651731E2;6.000906205E0;6.000906205E0
3.208897297E2;5.111946017E1;7.405942647E0;3.033589499E2;2.972739339E-1;3.406338282E2;6.000906205E0;6.000906205E0
3.218897406E2;5.111946815E1;7.405943445E0;3.031740721E2;1.371753961E-1;8.959017408E0;6.000906205E0;6.000906205E0
3.228897513E2;5.111947013E1;7.405939666E0;3.029278377E2;5.618398264E-2;3.571041737E2;6.000906205E0;6.000906205E0
3.238897636E2;5.111947251E1;7.405937042E0;3.028212288E2;2.453316599E-1;1.813727501E2;6.000906205E0;6.000906205E0
3.248897742E2;5.111947052E1;7.405937430E0;3.027240231E2;4.820866883E-2;1.730085004E2;6.000906205E0;6.000906205E0
3.258897842E2;5.111947088E1;7.405935392E0;3.027748922E2;2.453316599E-1;1.776452973E2;6.000906205E0;6.000906205E0
3.268897961E2;5.111946589E1;7.405937974E0;3.027562211E2;2.322607785E-1;1.837655156E2;6.000906205E0;6.000906205E0
