"Time (s)";"X (hPa)"
2.069413736E2;9.924006653E2
2.078875256E2;9.923970032E2
2.088337156E2;9.923970032E2
2.097799086E2;9.923934174E2
2.107260786E2;9.923873138E2
2.116722876E2;9.923733521E2
2.126186376E2;9.923655701E2
2.135649776E2;9.923432159E2
2.145113816E2;9.923387146E2
2.154578846E2;9.923313141E2
2.164043866E2;9.923170471E2
2.173509346E2;9.923038483E2
2.182975486E2;9.923007965E2
2.192442096E2;9.922981262E2
2.201907766E2;9.922981262E2
2.211373816E2;9.922909546E2
2.220840256E2;9.922891235E2
2.230306576E2;9.922891235E2
2.239771976E2;9.922908020E2
2.249237376E2;9.922917175E2
2.258702776E2;9.922933960E2
2.268168476E2;9.922917175E2
2.277633306E2;9.922932434E2
2.287099106E2;9.922917175E2
2.296566036E2;9.922932434E2
2.306033506E2;9.922955322E2
2.315499266E2;9.923004150E2
2.324965866E2;9.923006439E2
2.334431666E2;9.923228455E2
2.343899536E2;9.923245239E2
2.353367696E2;9.923297882E2
2.362836186E2;9.923245239E2
2.372304856E2;9.923297882E2
2.381773936E2;9.923324585E2
2.391244646E2;9.923324585E2
2.400715146E2;9.923204803E2
2.410185896E2;9.923171997E2
2.419656916E2;9.923085022E2
2.429128436E2;9.923085022E2
2.438599016E2;9.923085022E2
2.448069946E2;9.922897339E2
2.457540886E2;9.922875977E2
2.467013156E2;9.922874451E2
2.476485516E2;9.922874451E2
2.485958966E2;9.922874451E2
2.495431446E2;9.922928619E2
2.504904616E2;9.922953033E2
2.514379086E2;9.922962952E2
2.523853666E2;9.923005676E2
2.533328526E2;9.923005676E2
2.542802806E2;9.922982025E2
2.552277436E2;9.922980499E2
2.561752976E2;9.922906494E2
2.571227826E2;9.922906494E2
2.580702706E2;9.922909546E2
2.590178966E2;9.922909546E2
2.599655866E2;9.922862244E2
2.609135076E2;9.922830200E2
2.618613596E2;9.922714996E2
2.628091536E2;9.922714996E2
2.637570766E2;9.922643280E2
2.647049666E2;9.922518921E2
2.656529336E2;9.922478485E2
2.666010296E2;9.922478485E2
2.675491486E2;9.922508240E2
2.684973056E2;9.922508240E2
2.694453516E2;9.922443390E2
2.703934866E2;9.922419739E2
2.713415866E2;9.922393036E2
2.722897406E2;9.922393036E2
2.732378926E2;9.922393036E2
2.741859896E2;9.922417450E2
2.751338916E2;9.922370148E2
2.760818196E2;9.922417450E2
2.770297956E2;9.922521210E2
2.779777376E2;9.922530365E2
2.789257696E2;9.922530365E2
2.798739016E2;9.922505188E2
2.808220336E2;9.922470856E2
2.817703056E2;9.922394562E2
2.827185476E2;9.922291565E2
2.836667896E2;9.922219849E2
2.846151146E2;9.922187805E2
2.855634886E2;9.922113800E2
2.865119006E2;9.922072601E2
2.874602936E2;9.922041321E2
2.884086656E2;9.921961212E2
2.893570316E2;9.921936798E2
2.903054086E2;9.921936798E2
2.912538696E2;9.921932983E2
2.922023636E2;9.921955872E2
2.931508416E2;9.921959686E2
2.940993506E2;9.921959686E2
2.950478256E2;9.921976471E2
2.959963176E2;9.922034454E2
2.969448006E2;9.922036743E2
2.978933646E2;9.922044373E2
2.988419386E2;9.922036743E2
2.997904606E2;9.922044373E2
3.007390766E2;9.922072601E2
3.016876836E2;9.922072601E2
3.026362616E2;9.922072601E2
3.035849396E2;9.922060394E2
3.045336816E2;9.922076416E2
3.054823016E2;9.922134399E2
3.064309476E2;9.922148895E2
3.073796416E2;9.922200012E2
3.083283346E2;9.922148895E2
3.092771646E2;9.922203827E2
3.102262186E2;9.922286987E2
3.111752916E2;9.922286987E2
3.121243366E2;9.922238922E2
3.130733966E2;9.922204590E2
3.140224486E2;9.922238922E2
3.149715106E2;9.922245789E2
3.159206226E2;9.922245789E2
3.168697576E2;9.922200775E2
3.178188636E2;9.922170258E2
3.187679636E2;9.922128296E2
3.197170966E2;9.922128296E2
3.206661926E2;9.922123718E2
3.216153646E2;9.922035217E2
3.225646206E2;9.922029114E2
3.235139366E2;9.922029114E2
3.244632676E2;9.922063446E2
3.254126726E2;9.922097778E2
3.263620266E2;9.922113037E2
3.273113466E2;9.922097778E2
3.282607776E2;9.922097778E2
3.292101006E2;9.922065735E2
3.301594496E2;9.922065735E2
3.311086576E2;9.921933746E2
3.320579906E2;9.921930695E2
3.330075226E2;9.921870422E2
3.339571516E2;9.921838379E2
3.349067206E2;9.921836090E2
3.358564056E2;9.921736908E2
3.368060366E2;9.921684265E2
3.377556576E2;9.921590424E2
3.387053336E2;9.921582794E2
3.396550216E2;9.921579742E2
3.406047176E2;9.921447754E2
3.415544066E2;9.921417999E2
3.425040736E2;9.921372986E2
3.434537616E2;9.921372223E2
3.444034086E2;9.921372223E2
3.453531356E2;9.921267700E2
3.463028626E2;9.921250153E2
3.472527066E2;9.921250153E2
3.482025186E2;9.921282959E2
3.491523146E2;9.921283722E2
3.501021026E2;9.921288300E2
3.510518886E2;9.921283722E2
3.520017706E2;9.921288300E2
3.529515016E2;9.921289825E2
3.539010606E2;9.921289825E2
3.548506596E2;9.921244049E2
3.558003376E2;9.921212006E2
3.567500866E2;9.921234894E2
3.576998856E2;9.921234894E2
3.586496306E2;9.921234894E2
3.595994646E2;9.921137238E2
3.605492936E2;9.921134949E2
3.614991386E2;9.921129608E2
3.624490106E2;9.921129608E2
3.633988826E2;9.921129608E2
3.643487956E2;9.921060944E2
3.652987636E2;9.921059418E2
3.662488726E2;9.921060944E2
3.671988176E2;9.921105957E2
3.681486466E2;9.921105957E2
3.690985466E2;9.921020508E2
3.700483846E2;9.920981598E2
3.709982906E2;9.920946503E2
3.719482346E2;9.920946503E2
3.728981766E2;9.920946503E2
3.738481666E2;9.920908356E2
3.747981296E2;9.920885468E2
3.757483316E2;9.920908356E2
3.766985276E2;9.920949554E2
3.776488506E2;9.920949554E2
3.785991736E2;9.920901489E2
3.795495296E2;9.920869446E2
3.804998316E2;9.920901489E2
3.814502896E2;9.920928192E2
3.824009796E2;9.920928192E2
3.833515286E2;9.920847321E2
3.843022256E2;9.920829010E2
3.852529906E2;9.920781708E2
3.862038586E2;9.920781708E2
3.871546686E2;9.920796967E2
3.881055186E2;9.920816040E2
3.890563436E2;9.920816040E2
3.900072846E2;9.920816040E2
3.909584346E2;9.920817566E2
3.919095006E2;9.920899963E2
3.928607146E2;9.920899963E2
3.938118126E2;9.920851135E2
3.947629046E2;9.920821381E2
3.957140156E2;9.920817566E2
3.966651376E2;9.920812225E2
3.976164066E2;9.920812225E2
3.985676226E2;9.920675659E2
3.995188326E2;9.920655060E2
4.004701046E2;9.920578003E2
4.014214556E2;9.920578003E2
4.023727876E2;9.920578003E2
4.033241196E2;9.920472717E2
4.042754966E2;9.920467377E2
4.052268616E2;9.920460510E2
4.061785286E2;9.920455933E2
4.071301686E2;9.920455933E2
4.080818366E2;9.920370483E2
4.090335116E2;9.920349121E2
4.099851266E2;9.920349121E2
4.109368066E2;9.920365906E2
4.118884436E2;9.920365906E2
4.128401836E2;9.920323181E2
4.137920286E2;9.920305634E2
4.147437806E2;9.920295715E2
4.156956406E2;9.920295715E2
4.166474946E2;9.920295715E2
4.175993516E2;9.920259857E2
4.185512736E2;9.920257568E2
4.195031476E2;9.920259857E2
4.204550886E2;9.920322418E2
4.214070736E2;9.920322418E2
4.223590866E2;9.920277405E2
4.233112646E2;9.920249176E2
4.242635846E2;9.920267487E2
4.252158476E2;9.920267487E2
4.261680616E2;9.920267487E2
4.271200976E2;9.920146179E2
4.280721936E2;9.920127106E2
4.290244236E2;9.920091248E2
4.299766406E2;9.920075226E2
4.309288356E2;9.920075226E2
4.318810886E2;9.919896698E2
4.328332496E2;9.919886780E2
4.337853676E2;9.919844055E2
4.347375836E2;9.919844055E2
4.356899066E2;9.919844055E2
4.366422926E2;9.919812775E2
4.375946106E2;9.919790649E2
4.385469826E2;9.919812775E2
4.394993186E2;9.919813538E2
4.404517796E2;9.919813538E2
4.414043646E2;9.919774628E2
4.423569536E2;9.919765472E2
4.433094996E2;9.919714355E2
4.442621576E2;9.919690704E2
4.452148126E2;9.919683838E2
4.461675536E2;9.919641876E2
4.471202686E2;9.919611359E2
4.480730196E2;9.919625092E2
4.490257746E2;9.919625092E2
4.499786716E2;9.919625092E2
4.509315636E2;9.919584656E2
4.518844496E2;9.919530487E2
4.528372786E2;9.919498444E2
4.537902206E2;9.919498444E2
4.547431736E2;9.919554138E2
4.556962146E2;9.919554138E2
4.566492226E2;9.919499969E2
4.576022636E2;9.919488525E2
4.585553006E2;9.919499969E2
4.595083746E2;9.919569397E2
4.604615126E2;9.919569397E2
4.614147076E2;9.919461060E2
4.623679156E2;9.919436646E2
4.633212316E2;9.919322205E2
4.642744576E2;9.919322205E2
4.652278096E2;9.919322205E2
4.661811126E2;9.919202423E2
4.671344336E2;9.919063568E2
4.680879046E2;9.919018555E2
4.690415586E2;9.919018555E2
4.699954106E2;9.919028473E2
4.709492746E2;9.919028473E2
4.719031406E2;9.918897247E2
4.728567356E2;9.918888092E2
4.738103496E2;9.918739319E2
4.747640116E2;9.918722534E2
4.757177356E2;9.918686676E2
4.766715136E2;9.918587494E2
4.776253486E2;9.918548584E2
4.785793466E2;9.918517303E2
4.795333676E2;9.918517303E2
4.804873236E2;9.918534088E2
4.814413756E2;9.918618774E2
4.823955026E2;9.918595886E2
4.833496726E2;9.918618774E2
4.843039146E2;9.918775177E2
4.852581846E2;9.918834686E2
4.862124656E2;9.918894196E2
4.871667686E2;9.918894196E2
4.881210886E2;9.918894196E2
4.890754736E2;9.918925476E2
4.900298926E2;9.918972778E2
4.909843426E2;9.919008636E2
4.919388386E2;9.919059753E2
4.928933196E2;9.919008636E2
4.938478106E2;9.919059753E2
4.948022486E2;9.919160461E2
4.957568216E2;9.919166565E2
4.967114166E2;9.919247437E2
4.976659556E2;9.919281769E2
4.986205686E2;9.919332886E2
4.995752076E2;9.919410706E2
5.005300216E2;9.919451904E2
5.014848026E2;9.919451904E2
5.024396566E2;9.919451904E2
5.033946376E2;9.919448090E2
5.043496636E2;9.919487000E2
5.053046726E2;9.919622040E2
5.062596966E2;9.919635010E2
5.072146956E2;9.919779205E2
5.081697526E2;9.919779205E2
5.091248716E2;9.919779205E2
5.100800476E2;9.919790649E2
5.110354166E2;9.920045471E2
5.119908136E2;9.920045471E2
5.129462916E2;9.920116425E2
5.139017396E2;9.920084381E2
5.148571846E2;9.920085907E2
5.158128226E2;9.920085907E2
5.167684066E2;9.920295715E2
5.177240166E2;9.920295715E2
5.186796896E2;9.920314026E2
5.196352976E2;9.920291901E2
5.205909976E2;9.920314026E2
5.215467846E2;9.920321655E2
5.225026386E2;9.920492554E2
5.234586716E2;9.920492554E2
5.244146196E2;9.920439148E2
5.253703886E2;9.920394897E2
5.263261436E2;9.920439148E2
5.272818816E2;9.920499420E2
5.282376756E2;9.920513153E2
5.291935016E2;9.920555878E2
5.301493546E2;9.920526886E2
5.311053306E2;9.920555878E2
5.320613916E2;9.920649719E2
5.330172776E2;9.920649719E2
5.339731966E2;9.920735931E2
5.349291566E2;9.920716095E2
5.358851626E2;9.920735931E2
5.368411556E2;9.920780945E2
5.377973086E2;9.920887756E2
5.387535216E2;9.920921326E2
5.397098616E2;9.920953369E2
5.406660966E2;9.921014404E2
5.416223206E2;9.921033478E2
5.425785926E2;9.921282196E2
5.435348926E2;9.921417999E2
5.444911766E2;9.921454620E2
5.454475336E2;9.921617889E2
5.464039416E2;9.921696472E2
5.473604416E2;9.921729279E2
5.483169186E2;9.921970367E2
5.492734856E2;9.921970367E2
5.502301126E2;9.921907043E2
5.511866336E2;9.921883392E2
5.521432236E2;9.921833801E2
5.530998946E2;9.921833801E2
5.540566946E2;9.921940613E2
5.550134236E2;9.921940613E2
5.559702156E2;9.921949768E2
5.569270986E2;9.921918488E2
5.578839156E2;9.921983337E2
5.588408056E2;9.922093964E2
5.597977346E2;9.922222137E2
5.607547186E2;9.922257996E2
5.617115746E2;9.922257996E2
5.626685166E2;9.922257996E2
5.636255216E2;9.922290802E2
5.645826146E2;9.922382355E2
5.655396576E2;9.922438812E2
5.664967776E2;9.922464752E2
5.674538886E2;9.922464752E2
5.684110726E2;9.922468567E2
5.693682076E2;9.922519684E2
5.703252426E2;9.922651672E2
5.712824656E2;9.922718048E2
5.722396886E2;9.922797394E2
5.731969706E2;9.922806549E2
5.741542806E2;9.922822571E2
5.751114396E2;9.922827148E2
5.760687826E2;9.923067474E2
5.770261346E2;9.923067474E2
5.779834646E2;9.923111725E2
5.789408776E2;9.923061371E2
5.798982136E2;9.923100281E2
5.808556206E2;9.923100281E2
5.818131116E2;9.923234558E2
5.827706646E2;9.923234558E2
5.837282016E2;9.923223114E2
5.846857306E2;9.923178864E2
5.856434106E2;9.923223114E2
5.866010286E2;9.923262787E2
5.875588576E2;9.923262787E2
5.885168276E2;9.923352051E2
5.894745406E2;9.923352051E2
5.904322876E2;9.923375702E2
5.913900376E2;9.923381805E2
5.923478106E2;9.923595428E2
5.933055536E2;9.923595428E2
5.942633916E2;9.923693848E2
5.952210996E2;9.923703766E2
5.961789686E2;9.923724365E2
5.971368166E2;9.923754883E2
5.980947126E2;9.923928070E2
5.990525836E2;9.923928070E2
6.000105206E2;9.923915863E2
6.009684736E2;9.923863983E2
6.019264206E2;9.923767853E2
6.028844496E2;9.923767853E2
6.038426186E2;9.923790741E2
6.048006916E2;9.923877716E2
6.057587286E2;9.923877716E2
6.067166866E2;9.924042511E2
6.076747416E2;9.924086761E2
6.086327866E2;9.924276733E2
6.095908296E2;9.924276733E2
6.105488366E2;9.924238586E2
6.115068806E2;9.924168396E2
6.124650226E2;9.924073792E2
6.134231556E2;9.923962402E2
6.143814166E2;9.923898315E2
