"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.585432375E0;-1.713712811E-1;1.121165633E0;-2.932286821E-2
1.595411375E0;-1.595452130E-1;1.268094778E0;4.008783959E-3
1.605421375E0;-1.710013300E-1;1.261104465E0;4.780233651E-2
1.615431375E0;-1.958487183E-1;1.202117443E0;9.384454042E-2
1.625441375E0;-2.421584278E-1;1.103102446E0;1.086935252E-1
1.635420375E0;-2.376477122E-1;9.048210382E-1;1.166118756E-1
1.645430375E0;-1.707837284E-1;5.859527588E-1;1.161354333E-1
1.655440375E0;-7.719972730E-2;3.048155308E-1;8.796275407E-2
1.665449375E0;2.964842319E-2;2.341578603E-1;4.139258713E-2
1.675429375E0;1.554835886E-1;3.413541913E-1;-5.598866194E-2
1.685438375E0;2.561100721E-1;4.752970636E-1;-1.881967634E-1
1.695448375E0;2.559435070E-1;5.572570562E-1;-2.271557450E-1
1.705458375E0;7.359901816E-2;6.265761852E-1;-1.018012762E-1
1.715437375E0;-1.614813507E-1;6.361165643E-1;5.751280487E-2
1.725447375E0;-2.708153129E-1;5.570126772E-1;1.454112381E-1
1.735457375E0;-2.363353521E-1;4.110842049E-1;1.817090511E-1
1.745466375E0;-2.062014192E-1;2.904033065E-1;2.279596329E-1
1.755476375E0;-2.098920792E-1;1.470260024E-1;2.377984077E-1
1.765455375E0;-2.456953526E-1;-7.189063728E-2;1.930748820E-1
1.775465375E0;-2.760775387E-1;-2.811740339E-1;1.228839606E-1
1.785475375E0;-2.453388125E-1;-4.489579797E-1;3.252371214E-3
1.795485375E0;-1.386518031E-1;-5.103583932E-1;-8.369047195E-2
1.805464375E0;1.586000808E-2;-4.462494552E-1;-1.062676832E-1
1.815474375E0;2.032863945E-1;-2.449761927E-1;-1.203288510E-1
1.825483375E0;3.928550184E-1;-2.661749162E-2;-1.201901063E-1
1.835493375E0;4.850855470E-1;1.831148863E-1;-4.249376804E-2
1.845473375E0;3.857445717E-1;3.416768312E-1;3.648413718E-2
