"Time (s)"	"X (hPa)"
4.488859812E2	9.706030273E2
4.498521432E2	9.706048584E2
4.508184582E2	9.706048584E2
4.517847522E2	9.706045532E2
4.527512212E2	9.706045532E2
4.537176292E2	9.706050110E2
4.546839822E2	9.706053162E2
4.556504852E2	9.706062317E2
4.566169462E2	9.706092072E2
4.575835092E2	9.706125641E2
4.585500952E2	9.706158447E2
4.595167372E2	9.706158447E2
4.604831432E2	9.706146240E2
4.614495052E2	9.706085968E2
4.624159802E2	9.705982971E2
4.633825362E2	9.705856323E2
4.643490642E2	9.705744171E2
4.653156412E2	9.705655670E2
4.662821732E2	9.705585480E2
4.672487432E2	9.705541992E2
4.682153442E2	9.705528259E2
4.691819842E2	9.705515289E2
4.701486682E2	9.705506897E2
4.711154172E2	9.705506897E2
4.720821062E2	9.705520630E2
4.730488522E2	9.705551147E2
4.740156612E2	9.705580902E2
4.749824372E2	9.705622101E2
4.759492432E2	9.705670929E2
4.769157082E2	9.705706024E2
4.778822202E2	9.705715942E2
4.788487472E2	9.705728912E2
4.798155532E2	9.705738831E2
4.807825202E2	9.705738831E2
4.817494222E2	9.705720520E2
4.827163812E2	9.705694580E2
4.836833752E2	9.705665588E2
4.846503632E2	9.705632782E2
4.856174962E2	9.705616760E2
4.865848282E2	9.705616760E2
4.875521792E2	9.705618286E2
4.885196052E2	9.705655670E2
4.894870642E2	9.705687714E2
4.904544652E2	9.705725861E2
4.914218502E2	9.705754089E2
4.923892102E2	9.705776215E2
4.933566142E2	9.705778503E2
4.943238552E2	9.705778503E2
4.952915472E2	9.705780792E2
4.962590542E2	9.705796051E2
4.972264752E2	9.705803680E2
4.981939042E2	9.705804443E2
4.991612992E2	9.705804443E2
5.001286562E2	9.705799103E2
5.010958982E2	9.705799103E2
5.020634112E2	9.705805206E2
5.030308912E2	9.705809784E2
5.039984262E2	9.705838013E2
5.049659692E2	9.705862427E2
5.059335102E2	9.705876923E2
5.069010512E2	9.705887604E2
5.078686512E2	9.705905151E2
5.088362182E2	9.705905151E2
5.098038492E2	9.705903625E2
5.107714892E2	9.705892944E2
5.117390872E2	9.705879974E2
5.127066852E2	9.705867004E2
5.136743172E2	9.705864716E2
5.146419072E2	9.705864716E2
5.156096292E2	9.705882263E2
5.165775082E2	9.705888367E2
5.175455092E2	9.705888367E2
5.185135362E2	9.705882263E2
5.194815732E2	9.705876160E2
5.204493312E2	9.705854034E2
5.214171472E2	9.705838776E2
5.223850312E2	9.705838013E2
5.233530372E2	9.705837250E2
5.243212202E2	9.705838013E2
5.252895802E2	9.705844116E2
5.262578272E2	9.705844879E2
5.272260682E2	9.705853271E2
5.281944342E2	9.705863953E2
5.291627342E2	9.705876160E2
5.301311212E2	9.705901337E2
5.310994922E2	9.705917358E2
5.320678712E2	9.705928040E2
5.330363032E2	9.705928040E2
5.340047642E2	9.705918884E2
5.349731572E2	9.705902863E2
5.359415812E2	9.705886078E2
5.369100082E2	9.705871582E2
5.378783842E2	9.705870056E2
5.388468402E2	9.705865479E2
5.398151132E2	9.705857849E2
5.407833882E2	9.705857849E2
5.417516592E2	9.705857849E2
5.427200292E2	9.705858612E2
5.436882602E2	9.705858612E2
5.446565922E2	9.705855560E2
5.456249842E2	9.705854034E2
5.465933812E2	9.705842590E2
5.475618442E2	9.705831146E2
5.485304942E2	9.705831146E2
5.494991352E2	9.705835724E2
5.504677442E2	9.705844879E2
5.514364162E2	9.705859375E2
5.524049622E2	9.705868530E2
5.533735742E2	9.705869293E2
5.543421962E2	9.705873871E2
5.553108692E2	9.705879974E2
5.562795612E2	9.705884552E2
5.572482582E2	9.705898285E2
5.582168962E2	9.705910492E2
5.591853162E2	9.705924225E2
5.601537642E2	9.705929565E2
5.611221962E2	9.705929565E2
5.620903102E2	9.705922699E2
5.630582702E2	9.705908966E2
5.640263262E2	9.705900574E2
5.649942562E2	9.705900574E2
5.659622142E2	9.705904388E2
5.669301792E2	9.705907440E2
5.678980062E2	9.705912018E2
5.688660632E2	9.705928040E2
5.698341572E2	9.705928802E2
5.708022752E2	9.705928802E2
5.717702502E2	9.705945587E2
5.727381412E2	9.705970764E2
5.737060362E2	9.705976105E2
5.746739742E2	9.705982208E2
5.756418492E2	9.706004333E2
5.766095432E2	9.706020355E2
5.775772292E2	9.706041718E2
5.785449572E2	9.706085205E2
5.795126512E2	9.706126404E2
5.804804572E2	9.706157684E2
5.814482762E2	9.706174469E2
5.824162392E2	9.706174469E2
5.833842402E2	9.706153107E2
5.843523612E2	9.706127167E2
5.853206722E2	9.706106567E2
5.862891232E2	9.706077576E2
5.872575782E2	9.706042480E2
5.882259992E2	9.705997467E2
5.891945492E2	9.705955505E2
5.901630702E2	9.705919647E2
5.911316642E2	9.705870056E2
5.921002592E2	9.705838776E2
5.930687312E2	9.705826569E2
5.940372742E2	9.705801392E2
5.950058202E2	9.705786896E2
5.959744232E2	9.705776978E2
5.969430362E2	9.705774689E2
5.979116412E2	9.705749512E2
5.988805182E2	9.705728149E2
5.998493742E2	9.705710602E2
6.008183512E2	9.705688477E2
6.017872192E2	9.705654907E2
6.027560942E2	9.705641174E2
6.037249362E2	9.705631256E2
6.046937782E2	9.705620575E2
6.056624502E2	9.705611420E2
6.066309952E2	9.705604553E2
6.075995872E2	9.705593872E2
6.085681642E2	9.705593872E2
6.095367962E2	9.705603790E2
6.105053172E2	9.705620575E2
6.114738982E2	9.705630493E2
6.124424372E2	9.705653381E2
6.134110812E2	9.705667877E2
6.143795942E2	9.705672455E2
6.153482772E2	9.705678558E2
6.163168932E2	9.705672455E2
6.172856242E2	9.705677795E2
6.182542072E2	9.705676270E2
6.192229942E2	9.705677795E2
6.201917212E2	9.705686188E2
6.211604222E2	9.705693817E2
6.221291532E2	9.705693817E2
6.230978842E2	9.705693817E2
6.240665912E2	9.705690765E2
6.250353652E2	9.705674744E2
