"Time (s)";"X (hPa)"
3.459172635E2;9.894168854E2
3.468715485E2;9.893975067E2
3.478258925E2;9.893849945E2
3.487802865E2;9.893849945E2
3.497348875E2;9.893987274E2
3.506894545E2;9.894345093E2
3.516439375E2;9.894703674E2
3.525985155E2;9.895066833E2
3.535531255E2;9.895389557E2
3.545076675E2;9.895722961E2
3.554621885E2;9.895899963E2
3.564167725E2;9.896097565E2
3.573714005E2;9.896097565E2
3.583261665E2;9.895863342E2
3.592809045E2;9.895538330E2
3.602356795E2;9.895173645E2
3.611904085E2;9.894792938E2
3.621451585E2;9.894615173E2
3.630999385E2;9.894294739E2
3.640547795E2;9.894029999E2
3.650096285E2;9.893887329E2
3.659646385E2;9.893840790E2
3.669196565E2;9.893840790E2
3.678747035E2;9.894100189E2
3.688297265E2;9.894403076E2
3.697849485E2;9.894712067E2
3.707402465E2;9.895034790E2
3.716955425E2;9.895389557E2
3.726509325E2;9.895740509E2
3.736064135E2;9.895838928E2
3.745619245E2;9.895838928E2
3.755174245E2;9.895713043E2
3.764728885E2;9.895473480E2
3.774285275E2;9.895069122E2
3.783840925E2;9.894916534E2
3.793393925E2;9.894740295E2
3.802948185E2;9.894412231E2
3.812501495E2;9.894191742E2
3.822055975E2;9.894054413E2
3.831610475E2;9.894054413E2
3.841166265E2;9.894155884E2
3.850722025E2;9.894416809E2
3.860278055E2;9.894766998E2
3.869834705E2;9.895087433E2
3.879390065E2;9.895391083E2
3.888946735E2;9.895715332E2
3.898504715E2;9.895948792E2
3.908061815E2;9.896147919E2
3.917619135E2;9.896147919E2
3.927177425E2;9.895974731E2
3.936735905E2;9.895664215E2
3.946295615E2;9.895283508E2
3.955854425E2;9.894883728E2
3.965413815E2;9.894644165E2
3.974971955E2;9.894303894E2
3.984530295E2;9.894027710E2
3.994089095E2;9.893862152E2
4.003648505E2;9.893834686E2
4.013208285E2;9.893834686E2
4.022771995E2;9.894170380E2
4.032335455E2;9.894457245E2
4.041897365E2;9.894770813E2
4.051459255E2;9.895044708E2
4.061023095E2;9.895362854E2
4.070588695E2;9.895641327E2
4.080154485E2;9.895838928E2
4.089718395E2;9.895838928E2
4.099282135E2;9.895756531E2
4.108845855E2;9.895506287E2
4.118409545E2;9.895105743E2
4.127974205E2;9.894818115E2
4.137538785E2;9.894609833E2
4.147103745E2;9.894127655E2
4.156668955E2;9.893836212E2
4.166232895E2;9.893634033E2
4.175799415E2;9.893541718E2
4.185366375E2;9.893541718E2
4.194933315E2;9.893849945E2
4.204500305E2;9.894136810E2
4.214067535E2;9.894433594E2
4.223634405E2;9.894743347E2
4.233202585E2;9.895046997E2
4.242771245E2;9.895402527E2
