"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
9.507980752E1;5.111947306E1;7.405949424E0;3.028848127E2;5.721195340E-1;4.737989529E1;6.000906205E0;6.000906205E0
9.607983410E1;5.111947910E1;7.405944632E0;3.027946241E2;5.808556676E-1;3.491862633E2;6.000906205E0;6.000906205E0
9.707986045E1;5.111948346E1;7.405939668E0;3.025783756E2;1.852624118E-1;3.485998506E2;6.000906205E0;6.000906205E0
9.807988787E1;5.111948480E1;7.405939715E0;3.023974490E2;3.712594276E-3;3.507029478E2;6.000906205E0;6.000906205E0
9.907991409E1;5.111948187E1;7.405943176E0;3.023407394E2;5.828743801E-2;3.546619986E2;6.000906205E0;6.000906205E0
1.000799403E2;5.111947756E1;7.405948654E0;3.024428443E2;1.228874624E-1;1.640782330E2;6.000906205E0;6.000906205E0
1.010799668E2;5.111946803E1;7.405950955E0;3.026141418E2;1.755888015E-1;1.532047358E2;6.000906205E0;6.000906205E0
1.020799932E2;5.111946141E1;7.405953347E0;3.029240572E2;1.755888015E-1;1.800995072E2;6.000906205E0;6.000906205E0
1.030800203E2;5.111946068E1;7.405953100E0;3.031636517E2;3.860754967E-1;2.150383017E2;6.000906205E0;6.000906205E0
1.040800467E2;5.111946040E1;7.405954772E0;3.032071943E2;1.410623044E-1;2.336153371E2;6.000906205E0;6.000906205E0
1.050800732E2;5.111945955E1;7.405953102E0;3.032307471E2;1.629172452E-2;2.508914536E2;6.000906205E0;6.000906205E0
1.060801002E2;5.111946170E1;7.405958646E0;3.032471374E2;1.463481635E-1;6.557073811E1;6.000906205E0;6.000906205E0
1.070801260E2;5.111946279E1;7.405959585E0;3.032218050E2;6.315653771E-2;2.544289452E2;6.000906205E0;6.000906205E0
1.080801532E2;5.111946489E1;7.405962198E0;3.031937561E2;1.879898906E-1;6.927369785E1;6.000906205E0;6.000906205E0
1.090801796E2;5.111946411E1;7.405963330E0;3.031464291E2;2.274281979E-1;4.102043593E1;6.000906205E0;6.000906205E0
1.100802060E2;5.111946595E1;7.405965769E0;3.031717989E2;5.957858264E-2;4.321449418E1;6.000906205E0;6.000906205E0
1.110802327E2;5.111946640E1;7.405966649E0;3.031365704E2;7.112940401E-2;7.741470277E1;6.000906205E0;6.000906205E0
1.120802597E2;5.111946408E1;7.405970266E0;3.031256592E2;2.036007196E-1;1.213855345E2;6.000906205E0;6.000906205E0
1.130802855E2;5.111946467E1;7.405969545E0;3.032157272E2;1.986474544E-1;1.321985300E2;6.000906205E0;6.000906205E0
1.140803121E2;5.111946728E1;7.405964473E0;3.032027064E2;2.356144488E-1;1.438109990E2;6.000906205E0;6.000906205E0
1.150803390E2;5.111946567E1;7.405966470E0;3.030924748E2;5.543021858E-2;1.310883100E2;6.000906205E0;6.000906205E0
1.160803655E2;5.111946568E1;7.405967967E0;3.031413272E2;1.044591069E-1;1.439927640E2;6.000906205E0;6.000906205E0
1.170803915E2;5.111945918E1;7.405974258E0;3.031557705E2;2.373473495E-1;1.467426391E2;6.000906205E0;6.000906205E0
1.180804187E2;5.111944297E1;7.405975448E0;3.033874059E2;2.373473495E-1;1.625151169E2;6.000906205E0;6.000906205E0
1.190804449E2;5.111943752E1;7.405978383E0;3.038718579E2;4.744385183E-1;2.025284278E2;6.000906205E0;6.000906205E0
1.200804720E2;5.111943549E1;7.405985358E0;3.040275571E2;5.609052181E-1;2.345304458E2;6.000906205E0;6.000906205E0
1.210804986E2;5.111943332E1;7.405980928E0;3.041212948E2;1.648305207E-1;2.321615177E2;6.000906205E0;6.000906205E0
1.220805253E2;5.111943586E1;7.405980898E0;3.041370955E2;6.328688003E-3;2.487524843E2;6.000906205E0;6.000906205E0
1.230805515E2;5.111943932E1;7.405982761E0;3.040972297E2;4.828312993E-2;6.347475113E1;6.000906205E0;6.000906205E0
1.240805782E2;5.111943968E1;7.405983103E0;3.040493802E2;7.558379322E-2;7.113189179E1;6.000906205E0;6.000906205E0
1.250806047E2;5.111943983E1;7.405983889E0;3.040408873E2;7.045216113E-2;7.502157524E1;6.000906205E0;6.000906205E0
1.260806311E2;5.111943814E1;7.405978978E0;3.040427846E2;1.210709475E-2;7.670564717E1;6.000906205E0;6.000906205E0
1.270806578E2;5.111943891E1;7.405975401E0;3.040384150E2;6.062891483E-1;9.364882616E1;6.000906205E0;6.000906205E0
1.280806841E2;5.111943548E1;7.405977222E0;3.040024373E2;8.455554247E-1;1.174139571E2;6.000906205E0;6.000906205E0
1.290807109E2;5.111943001E1;7.405986465E0;3.040662132E2;8.447825909E-1;1.454526486E2;6.000906205E0;6.000906205E0
1.300807366E2;5.111942329E1;7.405988563E0;3.042210435E2;8.447825909E-1;1.581684801E2;6.000906205E0;6.000906205E0
1.310807635E2;5.111942935E1;7.405986540E0;3.043589417E2;5.974083543E-1;1.578132147E2;6.000906205E0;6.000906205E0
1.320807906E2;5.111942984E1;7.405989515E0;3.042615774E2;5.974083543E-1;1.503856708E2;6.000906205E0;6.000906205E0
1.330808167E2;5.111943254E1;7.405996111E0;3.042630470E2;2.491635382E-1;1.473364831E2;6.000906205E0;6.000906205E0
1.340808439E2;5.111944021E1;7.405991151E0;3.042623151E2;4.808999598E-2;1.662355756E2;6.000906205E0;6.000906205E0
1.350808702E2;5.111944006E1;7.405989454E0;3.041058240E2;8.796886355E-2;1.945734430E2;6.000906205E0;6.000906205E0
1.360808971E2;5.111943990E1;7.405988729E0;3.040816330E2;2.254244313E-2;2.337642625E2;6.000906205E0;6.000906205E0
1.370809228E2;5.111944026E1;7.405987639E0;3.040769892E2;6.226648763E-2;2.425959157E2;6.000906205E0;6.000906205E0
1.380809500E2;5.111944094E1;7.405986215E0;3.040637258E2;1.033011302E-1;2.916956868E2;6.000906205E0;6.000906205E0
1.390809764E2;5.111944313E1;7.405977586E0;3.040420747E2;4.341142178E-1;2.885104690E2;6.000906205E0;6.000906205E0
1.400810028E2;5.111944604E1;7.405965312E0;3.039484759E2;4.889084399E-1;3.031046708E2;6.000906205E0;6.000906205E0
1.410810293E2;5.111944849E1;7.405960198E0;3.037918443E2;9.542991966E-2;3.013682182E2;6.000906205E0;6.000906205E0
1.420810566E2;5.111944727E1;7.405955712E0;3.036715363E2;9.909269959E-2;2.816153111E2;6.000906205E0;6.000906205E0
1.430810826E2;5.111944721E1;7.405955324E0;3.036661523E2;1.594841667E-2;2.972124852E2;8.001208274E0;8.001208274E0
1.440811086E2;5.111944804E1;7.405953949E0;3.036649272E2;3.073153459E-2;3.116379540E2;8.001208274E0;8.001208274E0
1.450811360E2;5.111944873E1;7.405953995E0;3.036316535E2;2.620062977E-2;3.061177132E2;8.001208274E0;8.001208274E0
1.460811616E2;5.111944892E1;7.405953644E0;3.036082486E2;2.627621777E-2;2.242403697E2;8.001208274E0;8.001208274E0
1.470811888E2;5.111945006E1;7.405954259E0;3.035981627E2;3.266374022E-2;2.445763700E2;6.000906205E0;6.000906205E0
1.480812148E2;5.111945013E1;7.405954274E0;3.035679580E2;6.109369919E-3;2.372290536E2;6.000906205E0;6.000906205E0
1.490812422E2;5.111944974E1;7.405953971E0;3.035630973E2;5.349741504E-2;1.933706331E2;6.000906205E0;6.000906205E0
1.500812682E2;5.111944919E1;7.405953496E0;3.035720595E2;7.065966725E-2;1.553948086E2;6.000906205E0;6.000906205E0
1.510812951E2;5.111944863E1;7.405954691E0;3.035856449E2;1.073736101E-1;1.824624521E2;6.000906205E0;6.000906205E0
1.520813216E2;5.111944710E1;7.405953334E0;3.036112008E2;8.461566269E-2;2.393328065E2;6.000906205E0;6.000906205E0
1.530813487E2;5.111944748E1;7.405952347E0;3.036495993E2;7.576175034E-2;2.570290343E2;6.000906205E0;6.000906205E0
1.540813742E2;5.111945302E1;7.405951357E0;3.036358610E2;9.124267846E-2;2.915127470E2;6.000906205E0;6.000906205E0
1.550814012E2;5.111945581E1;7.405952140E0;3.034666161E2;2.719303668E-1;1.054639469E2;6.000906205E0;6.000906205E0
1.560814285E2;5.111945637E1;7.405957099E0;3.033735014E2;2.962460816E-1;1.521190909E2;6.000906205E0;6.000906205E0
1.570814543E2;5.111945891E1;7.405958322E0;3.033798180E2;8.056106418E-2;1.436551204E2;6.000906205E0;6.000906205E0
1.580814811E2;5.111945868E1;7.405957894E0;3.033145317E2;1.763598435E-2;1.663284252E2;6.000906205E0;6.000906205E0
1.590815071E2;5.111945828E1;7.405957415E0;3.033117659E2;1.184031963E-1;1.528431182E2;6.000906205E0;6.000906205E0
1.600815338E2;5.111945763E1;7.405957933E0;3.033201136E2;5.109366775E-2;6.683622873E1;6.000906205E0;6.000906205E0
1.610815605E2;5.111945599E1;7.405958322E0;3.033432781E2;2.403452247E-1;9.144236087E1;6.000906205E0;6.000906205E0
1.620815873E2;5.111946028E1;7.405959962E0;3.033958295E2;1.942538284E-2;8.049677099E1;6.000906205E0;6.000906205E0
1.630816143E2;5.111945926E1;7.405958620E0;3.032865796E2;1.335954517E-1;2.592133835E2;6.000906205E0;6.000906205E0
1.640816400E2;5.111945957E1;7.405956683E0;3.032968308E2;2.867145697E-3;2.833490317E2;6.000906205E0;6.000906205E0
1.650816671E2;5.111945969E1;7.405956301E0;3.032763776E2;3.133838624E-2;2.506054053E2;6.000906205E0;6.000906205E0
1.660816934E2;5.111945922E1;7.405955626E0;3.032681525E2;1.005760878E-1;2.295385338E2;6.000906205E0;6.000906205E0
1.670817201E2;5.111945558E1;7.405950885E0;3.032766684E2;1.674581319E-1;1.644884132E2;6.000906205E0;6.000906205E0
1.680817472E2;5.111945220E1;7.405942321E0;3.033531059E2;2.749534547E-1;2.633496094E2;6.000906205E0;6.000906205E0
1.690817727E2;5.111945200E1;7.405933705E0;3.034038435E2;2.749534547E-1;2.580578794E2;6.000906205E0;6.000906205E0
1.700817995E2;5.111945383E1;7.405930805E0;3.033589295E2;2.089435011E-1;3.106089450E2;6.000906205E0;6.000906205E0
1.710818259E2;5.111945484E1;7.405926448E0;3.032820107E2;3.397168517E-1;9.471448935E0;6.000906205E0;6.000906205E0
1.720818532E2;5.111945704E1;7.405928929E0;3.032168329E2;4.485182464E-1;2.651421208E1;6.000906205E0;6.000906205E0
1.730818796E2;5.111945894E1;7.405928272E0;3.031621126E2;3.397168517E-1;2.281211124E1;6.000906205E0;6.000906205E0
1.740819061E2;5.111946017E1;7.405927542E0;3.030969848E2;7.703902572E-2;2.231458319E1;6.000906205E0;6.000906205E0
1.750819327E2;5.111946122E1;7.405927668E0;3.030498501E2;5.313738436E-2;1.656230374E1;6.000906205E0;6.000906205E0
1.760819588E2;5.111946170E1;7.405927236E0;3.030152813E2;3.764920682E-2;3.453732692E2;6.000906205E0;6.000906205E0
1.770819856E2;5.111945958E1;7.405928669E0;3.029951252E2;2.160235047E-1;1.869871109E2;6.000906205E0;6.000906205E0
1.780820116E2;5.111945593E1;7.405921977E0;3.030642186E2;2.446266711E-1;2.161168705E2;6.000906205E0;6.000906205E0
1.790820383E2;5.111945805E1;7.405916836E0;3.031342993E2;1.648832485E-2;2.096856054E2;6.000906205E0;6.000906205E0
1.800820646E2;5.111945735E1;7.405914708E0;3.030461658E2;2.396620624E-2;2.010526424E2;6.000906205E0;6.000906205E0
1.810820918E2;5.111945654E1;7.405914236E0;3.030438069E2;8.280979842E-2;2.101713275E2;6.000906205E0;6.000906205E0
1.820821179E2;5.111945297E1;7.405914503E0;3.030641154E2;8.280979842E-2;2.010216607E2;6.000906205E0;6.000906205E0
1.830821443E2;5.111944901E1;7.405914322E0;3.031721918E2;3.923189640E-1;2.391206062E2;6.000906205E0;6.000906205E0
1.840821716E2;5.111944798E1;7.405906887E0;3.032972847E2;3.923189640E-1;2.253561767E2;6.000906205E0;6.000906205E0
1.850821978E2;5.111944886E1;7.405905363E0;3.032916666E2;1.662753522E-2;2.329170185E2;6.000906205E0;6.000906205E0
1.860822242E2;5.111945086E1;7.405902315E0;3.032553168E2;8.655755222E-2;5.282749366E1;6.000906205E0;6.000906205E0
1.870822508E2;5.111945285E1;7.405901899E0;3.031738162E2;2.136098146E-1;6.845137039E1;6.000906205E0;6.000906205E0
1.880822772E2;5.111945375E1;7.405904644E0;3.031050216E2;2.943723276E-2;4.096224955E1;6.000906205E0;6.000906205E0
1.890823042E2;5.111945587E1;7.405905899E0;3.030894630E2;2.767980471E-2;3.299413583E2;6.000906205E0;6.000906205E0
1.900823309E2;5.111945528E1;7.405904627E0;3.030343487E2;2.303698361E-1;9.837339608E0;6.000906205E0;6.000906205E0
1.910823568E2;5.111945912E1;7.405904991E0;3.030377363E2;3.638802469E-1;1.726088866E1;6.000906205E0;6.000906205E0
1.920823841E2;5.111946284E1;7.405901741E0;3.029285138E2;3.810577989E-1;3.403820402E2;6.000906205E0;6.000906205E0
1.930824107E2;5.111946725E1;7.405893339E0;3.027879804E2;3.810577989E-1;3.145652365E2;6.000906205E0;6.000906205E0
1.940824372E2;5.111947309E1;7.405906628E0;3.025909223E2;3.778643440E-3;2.942077484E2;6.000906205E0;6.000906205E0
1.950824633E2;5.111947806E1;7.405916602E0;3.024871711E2;1.546008736E-1;2.906710764E2;6.000906205E0;6.000906205E0
1.960824903E2;5.111947798E1;7.405914120E0;3.023963211E2;3.734900430E-2;2.690084485E2;6.000906205E0;6.000906205E0
1.970825171E2;5.111946364E1;7.405908209E0;3.023735032E2;1.265726984E-1;2.680388348E2;6.000906205E0;6.000906205E0
1.980825434E2;5.111945701E1;7.405899575E0;3.027509638E2;1.265726984E-1;2.392990653E2;6.000906205E0;6.000906205E0
1.990825698E2;5.111945011E1;7.405891031E0;3.029263137E2;2.940843999E-1;1.954000189E2;6.000906205E0;6.000906205E0
2.000825965E2;5.111944910E1;7.405887792E0;3.030895548E2;1.905088723E-1;1.726738621E2;6.000906205E0;6.000906205E0
2.010826228E2;5.111945003E1;7.405885820E0;3.031143384E2;2.007025927E-1;1.813882819E2;6.000906205E0;6.000906205E0
2.020826489E2;5.111944714E1;7.405885710E0;3.030769364E2;2.007025927E-1;1.877374209E2;6.000906205E0;6.000906205E0
2.030826759E2;5.111944509E1;7.405887075E0;3.031569395E2;5.899737030E-2;1.968678812E2;6.000906205E0;6.000906205E0
2.040827019E2;5.111944464E1;7.405890687E0;3.032333846E2;4.879885539E-2;1.879851518E2;6.000906205E0;6.000906205E0
