"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.620207875E0;-1.313239932E-1;7.323974967E-1;4.010446668E-1
2.630216875E0;-2.376848459E-1;7.775223255E-1;4.060249627E-1
2.640226875E0;-2.593512833E-1;3.418978751E-1;4.133262634E-1
2.650205875E0;3.313980252E-2;1.881078929E-1;4.120635390E-1
2.660215875E0;5.163160563E-1;2.355305403E-1;3.143399060E-1
2.670225875E0;9.290987849E-1;6.558507681E-1;1.439832300E-1
2.680204875E0;8.179895878E-1;-6.575483829E-2;-1.378878802E-1
2.690214875E0;7.912870049E-1;-1.559324116E-1;-7.373990864E-2
2.700224875E0;7.438462377E-1;-3.349146843E-1;2.313523591E-1
2.710233875E0;8.324989676E-1;-7.808886468E-2;4.745602906E-1
2.720213875E0;9.098030925E-1;9.984198213E-2;5.059608221E-1
2.730222875E0;1.013144374E0;2.806580067E-1;3.854992688E-1
2.740232875E0;1.100708604E0;3.412883282E-1;1.899396181E-1
2.750211875E0;1.108387589E0;2.498704940E-1;5.140263587E-3
2.760221875E0;1.074746013E0;2.771681547E-1;-6.874541193E-2
2.770231875E0;1.018453002E0;2.644912601E-1;-9.772130847E-2
2.780210875E0;9.594306946E-1;1.127073392E-1;-1.502185911E-1
2.790220875E0;9.769503474E-1;-3.011376224E-2;-2.291537225E-1
2.800230875E0;1.083281159E0;-1.509115398E-1;-2.875861228E-1
2.810240875E0;1.201843977E0;-2.955417335E-1;-2.714858353E-1
2.820219875E0;1.301846981E0;-4.122635424E-1;-1.550289989E-1
2.830229875E0;1.352537990E0;-4.682975411E-1;3.502393514E-2
2.840238875E0;1.372724533E0;-5.838323832E-1;2.581060231E-1
2.850218875E0;1.463855028E0;-7.772341371E-1;4.785964191E-1
2.860227875E0;1.566489816E0;-1.013279438E0;6.653767228E-1
2.870237875E0;1.625023365E0;-1.236115217E0;7.685530782E-1
2.880247875E0;1.586067438E0;-1.441934347E0;8.651291132E-1
2.890226875E0;1.451672554E0;-1.532212615E0;1.016059518E0
2.900236875E0;1.360832095E0;-1.637170434E0;1.123827219E0
2.910246875E0;1.358318806E0;-1.967319250E0;1.240414143E0
2.920225875E0;1.418455124E0;-2.460218906E0;1.451438785E0
2.930235875E0;1.430036426E0;-3.001852274E0;1.813366175E0
2.940244875E0;1.411627889E0;-3.387063980E0;2.256304502E0
2.950224875E0;1.389863849E0;-3.811767578E0;2.748548031E0
2.960233875E0;1.327800274E0;-4.116980553E0;3.369055271E0
2.970243875E0;1.302345514E0;-4.029085159E0;4.063483238E0
2.980253875E0;1.325363278E0;-3.699851036E0;4.658335686E0
2.990232875E0;1.117123961E0;-3.445178986E0;4.726182461E0
3.000242875E0;5.017715096E-1;-3.000118494E0;3.692396402E0
3.010252875E0;2.787545025E-1;-1.604687333E0;2.458224058E0
3.020231875E0;9.911736846E-2;-3.511996940E-2;1.734520912E0
3.030241875E0;-3.800493479E-1;8.395114541E-1;1.329241991E0
3.040251875E0;-6.557411551E-1;1.388646722E0;1.381226063E0
3.050260875E0;-7.282840610E-1;1.298176646E0;1.492706895E0
3.060240875E0;-5.939025879E-1;7.588125467E-1;1.544457674E0
3.070249875E0;-2.824565172E-1;-4.781643301E-2;1.505054951E0
3.080259875E0;1.115283668E-1;-9.819707274E-1;1.370630622E0
3.090238875E0;3.871462047E-1;-1.610168815E0;1.320833087E0
3.100248875E0;4.222224355E-1;-1.670911789E0;1.345336556E0
3.110258875E0;2.591895461E-1;-1.416536212E0;1.389809251E0
3.120237875E0;1.342529505E-1;-1.183040857E0;1.409665227E0
3.130244417E0;-4.856623709E-2;-9.989808202E-1;1.394693494E0
3.140254417E0;-2.390405834E-1;-7.305005789E-1;1.427901983E0
3.150263417E0;-5.037243366E-1;-3.651621938E-1;1.558215022E0
3.160243417E0;-7.941441536E-1;6.427865475E-2;1.708220482E0
3.170252417E0;-9.663202763E-1;1.844073981E-1;1.700643778E0
3.180262417E0;-8.011621833E-1;-2.115287483E-1;1.659414053E0
3.190241417E0;-5.530489087E-1;-4.366072416E-1;1.461949468E0
3.200251417E0;-1.679299772E-1;-1.010940313E0;1.059571981E0
